Event Name,Event Type,Duration (hours),Participants,Venue Type,Location,Number of Devices,Avg Power per Device (kW),Energy Usage Hours,Transport Mode,Transport Distance (km),Attendees Using Transport,Meal Type,Number of Meals,Printed Material (kg),Decoration Material (kg),Total Emissions (kg CO2)
Seminar,Corporate Training,4,1814,Hotel,Paris,33,1.5,4,Car,358.02,164,Vegetarian,1814,13.33,26.49,15229.85
Conference,Corporate Training,48,487,Hotel,Sydney,19,1.33,48,Plane,491.93,388,Non-Vegetarian,487,18.3,31.75,50128.29
Conference,Trade Show,12,45,Convention Center,Dubai,30,0.4,12,Bicycle,7.13,466,Mixed,45,18.92,42.59,307.52
Networking,Team Building,28,596,Convention Center,Tokyo,37,0.43,28,Walking,144.27,286,Vegan,596,6.69,14.14,860.4
Team Building,Board Meeting,45,323,Convention Center,Dubai,15,1.21,45,Plane,140.07,182,Mixed,323,0.77,12.78,7616.16
Trade Show,Corporate Training,12,196,Outdoor,Berlin,36,0.87,12,Car,199.05,481,Vegetarian,196,11.07,35.56,20681.22
Lancement de Produit,Fundraiser,6,559,Coworking Space,Paris,17,0.29,6,Bus,40.38,383,Vegetarian,559,16.79,40.37,1895.54
Conference,Team Building,31,812,Outdoor,New York,19,0.63,31,Car,40.87,168,Vegan,812,17.84,39.17,2553.45
Networking,Board Meeting,20,1797,Coworking Space,Dubai,42,1.0,20,Bicycle,310.71,129,Vegan,1797,16.01,31.54,2312.1
Seminar,Team Building,4,289,Convention Center,London,22,0.6,4,Walking,148.69,281,Vegan,289,7.49,20.0,370.38
Conférence,Team Building,37,64,Convention Center,London,26,1.09,37,Plane,449.03,392,Vegan,64,8.33,12.3,44634.49
Séminaire,Conference,21,552,Office,Sydney,36,1.92,21,Bicycle,65.37,370,Non-Vegetarian,552,5.26,15.67,2699.62
Product Launch,Networking Event,36,1022,Office,Dubai,15,0.38,36,Bicycle,224.98,382,Mixed,1022,8.95,39.23,2753.96
Seminar,Fundraiser,12,1123,Convention Center,Sydney,15,1.34,12,Bus,59.09,20,Mixed,1123,9.69,33.61,3085.61
Product Launch,Corporate Training,35,1966,Coworking Space,Paris,50,1.35,35,Train,66.8,170,Vegetarian,1966,6.7,38.64,4675.17
Lancement de Produit,Workshop,39,953,Convention Center,Tokyo,10,0.21,39,Car,166.36,348,Mixed,953,15.02,30.77,14672.62
Trade Show,Networking Event,31,701,Convention Center,Berlin,6,1.07,31,Bus,318.74,42,Vegetarian,701,13.05,13.66,2007.65
Formation,Networking Event,7,265,Coworking Space,Tokyo,24,1.45,7,Walking,170.64,110,Vegan,265,13.47,39.28,492.3
Réunion du Conseil,Team Building,12,640,Office,Berlin,22,0.6,12,Bicycle,88.91,385,Vegetarian,640,10.97,41.03,1143.2
Lancement de Produit,Trade Show,28,1415,Convention Center,New York,49,0.82,28,Bus,245.78,270,Non-Vegetarian,1415,4.57,39.13,9584.06
Fundraiser,Trade Show,36,1417,Convention Center,Dubai,28,0.89,36,Plane,48.22,173,Non-Vegetarian,1417,3.53,22.85,7546.34
Networking Event,Trade Show,1,1272,Coworking Space,Sydney,12,1.99,1,Car,192.15,17,Non-Vegetarian,1272,4.33,1.62,5161.82
Product Launch,Fundraiser,48,196,Convention Center,New York,41,0.64,48,Bicycle,179.21,355,Vegetarian,196,10.14,46.84,1037.72
Atelier,Fundraiser,47,1704,Coworking Space,Sydney,19,1.22,47,Walking,410.09,159,Non-Vegetarian,1704,6.73,24.04,6570.27
Conférence,Fundraiser,47,563,Hotel,New York,43,0.73,47,Walking,498.78,155,Vegan,563,10.64,49.66,1421.26
Seminar,Seminar,28,299,Coworking Space,London,23,1.35,28,Bus,227.2,217,Mixed,299,19.85,16.28,4212.6
Conférence,Workshop,26,525,Outdoor,London,48,1.5,26,Bus,16.62,184,Mixed,525,3.49,30.14,2499.24
Product Launch,Board Meeting,44,1717,Outdoor,London,6,1.4,44,Plane,498.77,203,Mixed,1717,19.47,42.94,29914.7
Team Building,Product Launch,9,785,Hotel,Dubai,9,1.35,9,Car,353.62,130,Non-Vegetarian,785,9.59,2.71,12480.6
Networking,Board Meeting,35,1977,Coworking Space,London,50,0.22,35,Train,431.73,280,Non-Vegetarian,1977,1.14,45.25,12040.16
Board Meeting,Seminar,38,1128,Outdoor,Dubai,41,0.36,38,Train,128.75,182,Vegetarian,1128,15.27,22.11,2984.5
Lancement de Produit,Product Launch,6,725,Convention Center,New York,26,0.7,6,Walking,34.02,381,Mixed,725,1.05,44.48,1958.16
Team Building,Seminar,2,1242,Hotel,Paris,9,0.77,2,Car,66.05,87,Mixed,1242,11.36,5.91,4353.2
Conference,Networking Event,18,693,Coworking Space,Berlin,45,0.19,18,Bicycle,368.92,402,Vegan,693,13.64,22.21,841.65
Board Meeting,Workshop,34,462,Convention Center,Berlin,14,1.13,34,Plane,474.67,31,Mixed,462,16.54,16.74,5169.19
Séminaire,Networking Event,24,1163,Convention Center,Paris,49,1.61,24,Bicycle,405.36,407,Non-Vegetarian,1163,11.71,31.11,5102.82
Product Launch,Board Meeting,44,1836,Outdoor,Sydney,22,0.25,44,Walking,242.57,349,Vegetarian,1836,8.79,21.12,2934.82
Board Meeting,Conference,6,1248,Convention Center,Berlin,24,0.86,6,Bus,314.35,498,Vegetarian,1248,8.27,38.72,11420.68
Board Meeting,Board Meeting,22,1312,Office,Berlin,42,0.87,22,Walking,68.44,145,Mixed,1312,11.53,16.2,3737.4
Conférence,Seminar,22,1033,Coworking Space,New York,16,1.34,22,Plane,359.8,342,Mixed,1033,9.34,37.98,33675.88
Formation,Corporate Training,40,191,Hotel,Dubai,23,0.13,40,Plane,376.26,497,Non-Vegetarian,191,1.15,34.77,47550.44
Board Meeting,Corporate Training,31,346,Office,Sydney,10,1.68,31,Car,294.48,336,Vegetarian,346,10.86,1.82,21583.27
Workshop,Corporate Training,12,184,Coworking Space,New York,49,1.52,12,Bus,452.1,295,Vegan,184,19.58,6.61,8685.43
Événement de Bienfaisance,Workshop,1,77,Outdoor,London,7,1.67,1,Bus,378.65,260,Vegetarian,77,11.55,5.3,6061.98
Conférence,Networking Event,29,1479,Outdoor,Paris,35,1.98,29,Bicycle,490.84,140,Vegetarian,1479,16.01,11.48,3278.33
Lancement de Produit,Team Building,19,93,Office,Dubai,23,1.08,19,Plane,462.54,238,Vegan,93,11.21,34.46,27941.45
Lancement de Produit,Trade Show,35,901,Hotel,New York,44,1.35,35,Train,320.13,160,Vegan,901,3.13,21.2,4037.99
Conference,Board Meeting,17,246,Coworking Space,Dubai,7,1.15,17,Car,171.07,97,Vegan,246,16.14,5.26,3841.92
Fundraiser,Fundraiser,19,1277,Office,Tokyo,37,1.43,19,Train,206.82,466,Mixed,1277,12.37,5.79,7586.59
Corporate Training,Team Building,33,190,Hotel,Paris,45,0.81,33,Bicycle,134.72,100,Mixed,190,6.91,3.54,1097.33
Product Launch,Trade Show,32,1027,Office,New York,17,1.86,32,Car,314.57,12,Non-Vegetarian,1027,16.43,38.18,5002.36
Séminaire,Networking Event,42,522,Outdoor,Dubai,45,0.22,42,Bicycle,441.27,366,Non-Vegetarian,522,4.16,42.22,2127.66
Conference,Seminar,35,1247,Convention Center,Dubai,9,0.33,35,Car,346.95,471,Mixed,1247,12.37,21.69,37554.42
Atelier,Conference,7,529,Convention Center,London,21,1.01,7,Bicycle,116.53,271,Vegetarian,529,17.34,23.23,948.88
Réunion du Conseil,Product Launch,33,1296,Office,Berlin,22,0.55,33,Walking,389.68,116,Mixed,1296,14.61,37.85,3544.57
Formation,Corporate Training,11,970,Outdoor,Sydney,18,0.61,11,Train,141.66,278,Vegetarian,970,4.64,8.05,3116.03
Atelier,Networking Event,11,374,Outdoor,London,28,1.92,11,Bus,200.13,415,Non-Vegetarian,374,19.72,47.94,6723.24
Team Building,Team Building,41,671,Coworking Space,New York,40,1.5,41,Train,316.93,45,Non-Vegetarian,671,15.07,8.36,4195.83
Événement de Bienfaisance,Corporate Training,23,229,Coworking Space,Dubai,11,1.37,23,Walking,132.71,377,Non-Vegetarian,229,11.01,39.35,1075.53
Team Building,Seminar,34,1498,Convention Center,New York,23,1.8,34,Train,189.42,406,Mixed,1498,5.15,35.9,7607.08
Board Meeting,Seminar,6,777,Hotel,Tokyo,45,0.21,6,Car,48.82,282,Mixed,777,12.23,45.64,4977.71
Séminaire,Conference,1,416,Office,Paris,25,0.79,1,Bus,471.17,48,Non-Vegetarian,416,10.4,3.19,2850.02
Board Meeting,Team Building,48,721,Outdoor,Sydney,26,1.66,48,Bus,446.22,127,Non-Vegetarian,721,3.89,28.45,7024.22
Événement de Bienfaisance,Board Meeting,6,1894,Hotel,Paris,24,1.09,6,Train,70.32,310,Vegetarian,1894,1.57,45.3,3885.19
Fundraiser,Team Building,30,973,Coworking Space,Sydney,24,1.24,30,Bus,5.03,295,Mixed,973,4.72,33.45,3044.27
Formation,Workshop,20,305,Convention Center,Dubai,30,1.07,20,Walking,49.02,478,Non-Vegetarian,305,15.7,7.0,1433.9
Networking Event,Team Building,20,1472,Outdoor,Tokyo,38,0.43,20,Car,420.94,37,Mixed,1472,7.7,16.95,7163.4
Trade Show,Team Building,39,758,Convention Center,Berlin,19,1.39,39,Bus,355.8,35,Vegan,758,1.23,15.91,2054.45
Product Launch,Trade Show,14,440,Convention Center,London,39,0.66,14,Bus,425.88,310,Non-Vegetarian,440,6.23,40.81,9735.63
Conférence,Trade Show,22,352,Convention Center,London,15,0.74,22,Bus,18.81,380,Mixed,352,13.69,16.54,1491.43
Atelier,Networking Event,32,132,Outdoor,Paris,6,1.96,32,Bicycle,190.43,351,Vegetarian,132,10.51,4.18,415.54
Trade Show,Fundraiser,40,1411,Convention Center,New York,49,1.05,40,Car,419.5,248,Vegetarian,1411,5.53,1.35,25006.82
Trade Show,Product Launch,8,1368,Office,New York,24,1.34,8,Bus,202.54,495,Vegan,1368,7.79,9.91,7547.48
Conférence,Conference,15,1807,Hotel,London,14,1.21,15,Bus,16.09,44,Mixed,1807,2.26,22.32,4736.19
Product Launch,Board Meeting,47,1557,Convention Center,New York,22,0.92,47,Bicycle,190.95,349,Vegetarian,1557,16.62,40.48,2925.34
Événement de Bienfaisance,Product Launch,2,867,Hotel,London,14,0.73,2,Bus,29.91,241,Vegetarian,867,9.83,36.6,1836.08
Product Launch,Conference,11,1040,Office,New York,31,0.2,11,Bus,85.96,190,Vegetarian,1040,2.85,41.0,2661.74
Atelier,Board Meeting,46,1650,Office,Paris,17,0.51,46,Bicycle,400.39,119,Non-Vegetarian,1650,13.69,22.95,6047.69
Conference,Workshop,38,106,Hotel,Sydney,38,1.05,38,Car,293.26,253,Vegan,106,1.87,21.48,16491.7
Événement de Bienfaisance,Board Meeting,40,1414,Coworking Space,Paris,21,1.54,40,Walking,168.55,356,Vegan,1414,1.07,24.39,2111.72
Conférence,Fundraiser,36,1520,Outdoor,Berlin,8,1.29,36,Bicycle,94.6,321,Mixed,1520,17.19,15.72,4051.58
Corporate Training,Workshop,12,282,Hotel,Paris,29,0.43,12,Walking,245.16,98,Non-Vegetarian,282,3.03,46.29,1160.46
Networking Event,Trade Show,19,71,Hotel,Tokyo,44,0.97,19,Bicycle,235.71,296,Vegan,71,18.8,21.31,556.68
Conference,Conference,7,1428,Outdoor,Berlin,22,0.64,7,Train,234.61,63,Non-Vegetarian,1428,18.26,3.39,5681.8
Product Launch,Workshop,21,381,Convention Center,Paris,41,0.72,21,Car,485.15,316,Vegan,381,19.48,15.77,32956.01
Networking,Trade Show,24,1739,Coworking Space,Dubai,34,1.41,24,Bicycle,57.27,90,Non-Vegetarian,1739,8.96,41.17,6762.04
Lancement de Produit,Board Meeting,33,303,Office,Berlin,12,1.77,33,Train,10.71,383,Vegan,303,16.71,36.53,924.02
Réunion du Conseil,Conference,26,939,Coworking Space,Berlin,31,1.87,26,Walking,84.17,92,Non-Vegetarian,939,6.88,23.07,4100.01
Conference,Team Building,48,88,Coworking Space,Paris,22,0.69,48,Plane,443.73,338,Vegan,88,1.27,2.02,37954.09
Séminaire,Trade Show,21,566,Convention Center,London,5,1.83,21,Train,410.82,77,Vegetarian,566,10.18,41.24,2313.24
Lancement de Produit,Seminar,20,1771,Outdoor,London,17,0.14,20,Bicycle,265.55,72,Non-Vegetarian,1771,11.07,35.03,6314.5
Workshop,Team Building,17,846,Coworking Space,Berlin,24,1.58,17,Car,481.38,324,Mixed,846,18.57,19.27,35266.1
Networking,Workshop,35,1859,Hotel,New York,50,1.75,35,Walking,202.71,40,Mixed,1859,12.04,31.85,6266.53
Fundraiser,Seminar,30,1373,Outdoor,Dubai,26,0.54,30,Walking,492.2,48,Non-Vegetarian,1373,4.0,9.96,5044.02
Réunion du Conseil,Corporate Training,47,673,Office,Paris,36,1.01,47,Car,218.21,482,Non-Vegetarian,673,4.21,1.9,25309.4
Réunion du Conseil,Team Building,43,219,Office,Tokyo,28,1.41,43,Walking,480.41,194,Mixed,219,6.37,7.82,1424.7
Board Meeting,Trade Show,9,399,Coworking Space,New York,48,1.69,9,Train,50.53,175,Vegetarian,399,2.65,43.83,1410.21
Fundraiser,Conference,5,1880,Outdoor,New York,30,0.94,5,Walking,164.37,402,Mixed,1880,9.76,34.05,4858.12
Lancement de Produit,Fundraiser,16,1464,Convention Center,Dubai,19,1.22,16,Bicycle,85.84,92,Vegan,1464,10.06,14.71,1698.98
Atelier,Conference,7,871,Office,Dubai,29,1.94,7,Train,405.71,37,Vegan,871,5.95,30.9,1742.06
Événement de Bienfaisance,Networking Event,29,520,Hotel,Paris,49,0.85,29,Walking,483.29,192,Non-Vegetarian,520,12.63,15.6,2480.39
Networking Event,Team Building,7,168,Coworking Space,New York,18,1.76,7,Train,74.6,91,Vegan,168,19.95,37.15,664.62
Networking,Board Meeting,43,752,Hotel,New York,8,0.56,43,Bicycle,333.54,372,Vegan,752,13.37,42.52,960.1
Lancement de Produit,Product Launch,11,1226,Coworking Space,Berlin,27,0.68,11,Plane,381.32,159,Vegetarian,1226,5.46,40.14,17188.65
Board Meeting,Seminar,4,1967,Outdoor,Sydney,13,0.14,4,Train,330.18,247,Mixed,1967,6.31,47.72,8291.38
Corporate Training,Workshop,3,432,Office,Dubai,33,0.17,3,Bus,420.49,449,Mixed,432,6.65,29.34,12488.4
Conférence,Networking Event,43,1380,Convention Center,Tokyo,38,0.24,43,Plane,419.48,388,Vegan,1380,4.67,24.02,42323.02
Product Launch,Team Building,19,357,Coworking Space,Dubai,46,0.41,19,Train,313.2,309,Mixed,357,8.26,46.66,5052.66
Trade Show,Workshop,36,983,Convention Center,Sydney,33,1.64,36,Walking,426.91,277,Vegan,983,14.75,49.87,2086.4
Product Launch,Team Building,42,1455,Office,Dubai,50,1.63,42,Plane,479.5,77,Vegetarian,1455,13.31,45.2,13241.4
Seminar,Team Building,46,977,Outdoor,Paris,31,0.26,46,Plane,337.09,79,Vegetarian,977,10.52,11.26,8351.97
Trade Show,Networking Event,40,623,Coworking Space,Sydney,13,1.77,40,Train,25.05,101,Vegan,623,14.65,25.44,1264.58
Board Meeting,Trade Show,16,1236,Office,Tokyo,45,0.7,16,Bicycle,181.82,27,Non-Vegetarian,1236,4.46,43.79,4674.5
Fundraiser,Board Meeting,24,1686,Convention Center,Sydney,24,1.84,24,Train,141.03,411,Mixed,1686,10.4,29.8,7143.85
Formation,Board Meeting,36,1911,Coworking Space,London,20,1.91,36,Bus,155.36,94,Non-Vegetarian,1911,9.57,41.24,8353.95
Networking,Board Meeting,17,1947,Office,London,9,0.25,17,Bus,251.34,466,Non-Vegetarian,1947,9.22,34.52,13948.57
Fundraiser,Workshop,21,1816,Convention Center,New York,47,1.1,21,Plane,187.33,421,Vegetarian,1816,2.54,39.79,23067.99
Conference,Board Meeting,13,1619,Outdoor,Dubai,19,1.24,13,Bicycle,249.69,65,Mixed,1619,9.77,15.69,4251.56
Trade Show,Trade Show,18,1427,Convention Center,New York,20,0.28,18,Bicycle,306.08,425,Vegan,1427,18.51,24.01,1562.44
Product Launch,Corporate Training,19,1201,Outdoor,London,33,0.47,19,Car,458.59,225,Mixed,1201,17.03,48.52,24949.32
Formation,Fundraiser,27,26,Coworking Space,London,32,1.97,27,Walking,491.95,436,Mixed,26,14.15,43.59,1031.52
Product Launch,Workshop,7,942,Coworking Space,New York,16,1.75,7,Car,477.9,420,Non-Vegetarian,942,11.39,28.0,45624.56
Lancement de Produit,Fundraiser,47,1047,Coworking Space,Paris,36,0.67,47,Train,418.45,462,Vegetarian,1047,1.9,8.2,9890.48
Networking Event,Trade Show,20,648,Hotel,Sydney,12,1.95,20,Bus,21.02,346,Mixed,648,4.08,5.19,2308.92
Trade Show,Networking Event,2,1183,Hotel,Dubai,14,1.67,2,Bus,356.49,63,Non-Vegetarian,1183,11.38,18.64,5571.45
Trade Show,Conference,24,1510,Coworking Space,Tokyo,40,1.38,24,Plane,152.07,294,Non-Vegetarian,1510,18.82,14.23,17190.64
Workshop,Workshop,13,1962,Outdoor,Tokyo,6,0.39,13,Bus,400.23,479,Non-Vegetarian,1962,0.85,10.04,18406.6
Corporate Training,Board Meeting,32,164,Convention Center,Tokyo,41,1.89,32,Bus,71.58,65,Vegan,164,4.78,30.45,1753.46
Product Launch,Workshop,10,143,Hotel,New York,38,1.35,10,Car,240.59,289,Non-Vegetarian,143,7.09,35.75,15444.09
Conference,Corporate Training,27,1523,Coworking Space,New York,35,1.21,27,Bus,145.17,142,Non-Vegetarian,1523,14.04,28.46,7224.07
Formation,Board Meeting,18,1649,Convention Center,Paris,7,0.21,18,Train,382.35,339,Non-Vegetarian,1649,6.06,18.06,11017.64
Séminaire,Workshop,47,1968,Outdoor,Berlin,5,0.22,47,Bus,417.36,195,Vegetarian,1968,3.49,3.01,7873.96
Seminar,Team Building,3,1612,Outdoor,New York,15,1.12,3,Bus,117.9,385,Non-Vegetarian,1612,10.39,14.65,8440.77
Networking Event,Trade Show,34,1540,Office,Paris,20,1.14,34,Train,269.69,304,Mixed,1540,8.53,43.08,7620.25
Atelier,Team Building,12,687,Outdoor,Sydney,5,0.53,12,Plane,338.57,143,Vegan,687,18.03,2.43,12847.7
Séminaire,Trade Show,4,1063,Hotel,Sydney,31,1.86,4,Walking,309.64,171,Vegetarian,1063,11.41,45.43,1823.5
Seminar,Seminar,41,1269,Outdoor,New York,20,0.48,41,Bicycle,289.61,215,Vegan,1269,4.46,7.66,1490.04
Séminaire,Team Building,27,865,Outdoor,New York,46,1.55,27,Train,248.04,259,Vegetarian,865,10.57,23.22,4897.32
Workshop,Conference,35,70,Hotel,New York,34,0.74,35,Bus,455.02,453,Vegan,70,4.08,48.53,12982.96
Corporate Training,Board Meeting,47,1555,Convention Center,Dubai,26,0.64,47,Plane,415.06,409,Non-Vegetarian,1555,16.48,6.01,48318.41
Seminar,Workshop,29,1302,Office,Dubai,22,0.18,29,Bus,65.28,348,Vegan,1302,13.38,38.65,2826.53
Séminaire,Board Meeting,21,172,Convention Center,Tokyo,35,0.94,21,Train,233.71,206,Non-Vegetarian,172,6.67,30.27,2947.1
Conference,Workshop,21,1267,Convention Center,Tokyo,6,1.87,21,Bus,242.34,255,Vegan,1267,16.39,28.32,5182.03
Conference,Team Building,48,1027,Office,Berlin,37,1.21,48,Bicycle,252.31,42,Vegetarian,1027,13.42,24.5,2690.82
Fundraiser,Workshop,18,617,Convention Center,Dubai,33,0.56,18,Bicycle,490.95,208,Vegetarian,617,19.64,20.47,1172.04
Fundraiser,Trade Show,36,1461,Convention Center,Tokyo,30,0.41,36,Train,77.82,88,Mixed,1461,3.36,29.9,4214.35
Événement de Bienfaisance,Trade Show,29,926,Hotel,Paris,26,0.53,29,Car,289.58,417,Vegetarian,926,20.0,35.85,27059.03
Corporate Training,Board Meeting,34,765,Hotel,Sydney,21,0.41,34,Car,64.65,93,Vegetarian,765,15.11,1.95,2590.6
Workshop,Workshop,45,453,Coworking Space,Dubai,31,1.96,45,Walking,191.77,308,Vegetarian,453,7.19,19.9,2100.78
Trade Show,Networking Event,44,159,Hotel,Dubai,49,1.11,44,Walking,103.32,231,Vegetarian,159,6.63,48.71,1545.76
Atelier,Team Building,1,34,Outdoor,London,40,1.66,1,Bus,379.28,178,Mixed,34,6.33,18.6,4218.77
Atelier,Fundraiser,32,1866,Outdoor,Paris,6,1.32,32,Walking,456.15,498,Vegan,1866,15.32,37.46,2098.28
Seminar,Board Meeting,12,1538,Outdoor,Sydney,41,1.2,12,Plane,55.56,119,Vegan,1538,19.89,8.96,3543.81
Fundraiser,Board Meeting,4,1036,Outdoor,Paris,16,1.76,4,Bicycle,490.4,432,Mixed,1036,1.61,43.32,2736.18
Team Building,Corporate Training,10,1981,Office,Dubai,10,1.01,10,Bus,427.18,349,Mixed,1981,3.46,39.03,14033.13
Trade Show,Corporate Training,18,878,Coworking Space,New York,6,1.07,18,Plane,415.84,174,Vegan,878,16.54,5.94,19069.78
Conférence,Workshop,46,1845,Outdoor,Dubai,30,1.28,46,Bus,243.8,166,Vegetarian,1845,11.12,18.72,6138.63
Board Meeting,Workshop,21,1749,Outdoor,Sydney,43,1.97,21,Bus,196.05,466,Vegetarian,1749,16.11,15.27,9057.27
Workshop,Networking Event,10,649,Outdoor,Tokyo,20,0.28,10,Plane,32.07,270,Mixed,649,17.99,35.47,3922.14
Networking,Trade Show,13,1345,Convention Center,Sydney,36,1.81,13,Walking,302.99,73,Mixed,1345,13.03,46.25,3904.6
Team Building,Conference,8,1803,Coworking Space,London,28,0.74,8,Car,416.23,35,Vegan,1803,16.62,28.96,5036.33
Networking Event,Board Meeting,13,949,Convention Center,Dubai,50,0.49,13,Train,471.47,127,Vegetarian,949,19.23,39.22,4094.72
Networking,Fundraiser,17,517,Outdoor,Dubai,33,1.45,17,Car,478.31,164,Non-Vegetarian,517,7.04,10.54,18724.38
Conference,Trade Show,1,1540,Office,Dubai,26,0.97,1,Plane,488.2,133,Non-Vegetarian,1540,7.54,23.85,21698.04
Atelier,Board Meeting,42,830,Outdoor,Berlin,47,0.92,42,Plane,22.12,24,Vegetarian,830,9.08,30.81,2365.54
Séminaire,Trade Show,10,1406,Coworking Space,Tokyo,44,1.77,10,Train,269.85,158,Non-Vegetarian,1406,19.14,22.31,7098.75
Événement de Bienfaisance,Seminar,9,1272,Office,Berlin,28,0.36,9,Plane,263.13,195,Non-Vegetarian,1272,4.51,11.42,17356.81
Fundraiser,Corporate Training,38,1759,Convention Center,New York,25,1.39,38,Bicycle,138.2,10,Vegetarian,1759,17.84,27.42,3389.27
Réunion du Conseil,Workshop,12,368,Coworking Space,Tokyo,24,1.39,12,Bus,242.33,328,Mixed,368,8.0,23.26,5951.73
Team Building,Trade Show,46,1541,Office,London,40,2.0,46,Walking,218.94,405,Mixed,1541,3.69,5.39,5710.66
Réunion du Conseil,Workshop,48,1299,Hotel,London,50,1.25,48,Plane,114.12,198,Mixed,1299,4.43,23.68,10452.66
Product Launch,Conference,22,1298,Outdoor,New York,44,0.75,22,Walking,375.39,268,Non-Vegetarian,1298,5.65,13.15,4943.6
Networking Event,Corporate Training,40,1974,Hotel,Berlin,44,1.23,40,Car,306.74,242,Vegetarian,1974,13.89,5.64,19670.99
Conférence,Seminar,30,801,Convention Center,New York,43,0.11,30,Train,77.31,61,Non-Vegetarian,801,0.89,37.72,3140.31
Seminar,Corporate Training,43,272,Hotel,Paris,18,0.35,43,Car,388.77,307,Vegan,272,10.02,6.05,25503.59
Séminaire,Trade Show,20,1289,Outdoor,Tokyo,44,0.35,20,Bicycle,126.82,19,Vegan,1289,18.84,34.1,1548.88
Seminar,Corporate Training,43,858,Convention Center,London,23,1.86,43,Bicycle,189.7,369,Vegetarian,858,17.98,44.62,2331.97
Seminar,Trade Show,23,217,Convention Center,London,38,1.6,23,Train,13.58,132,Mixed,217,6.95,38.23,1403.76
Séminaire,Fundraiser,47,902,Hotel,New York,19,1.24,47,Bicycle,348.23,32,Mixed,902,15.69,45.46,2930.96
Conférence,Corporate Training,27,748,Convention Center,Paris,9,0.59,27,Walking,336.41,494,Non-Vegetarian,748,11.0,3.88,2719.45
Product Launch,Trade Show,10,215,Convention Center,London,9,1.25,10,Walking,490.43,146,Mixed,215,17.18,41.78,711.67
Product Launch,Product Launch,22,1546,Coworking Space,New York,19,1.05,22,Bicycle,327.02,214,Mixed,1546,8.98,23.18,4148.77
Séminaire,Workshop,38,929,Outdoor,Dubai,21,0.58,38,Bicycle,494.43,17,Non-Vegetarian,929,1.43,45.71,3577.2
Networking,Trade Show,42,125,Hotel,Dubai,37,0.51,42,Walking,57.73,167,Non-Vegetarian,125,18.83,8.08,887.59
Board Meeting,Board Meeting,40,910,Coworking Space,Paris,6,0.99,40,Car,244.48,309,Non-Vegetarian,910,18.88,5.95,19217.77
Seminar,Fundraiser,15,552,Outdoor,Dubai,9,1.28,15,Walking,316.79,139,Non-Vegetarian,552,6.18,28.47,2087.7
Workshop,Team Building,43,1740,Coworking Space,London,26,1.17,43,Train,140.3,299,Non-Vegetarian,1740,1.74,40.81,8507.12
Networking Event,Networking Event,2,1361,Convention Center,Sydney,40,1.93,2,Train,293.32,144,Non-Vegetarian,1361,13.97,24.74,6607.64
Formation,Conference,7,251,Convention Center,Berlin,32,1.42,7,Car,297.09,345,Non-Vegetarian,251,19.04,38.59,22676.97
Séminaire,Fundraiser,31,573,Office,London,18,1.99,31,Car,421.88,421,Vegan,573,12.03,24.26,38499.2
Séminaire,Corporate Training,5,833,Office,Sydney,17,1.49,5,Walking,199.73,45,Vegan,833,15.52,16.72,960.81
Networking Event,Conference,24,1452,Office,Tokyo,34,0.43,24,Bicycle,104.41,87,Vegetarian,1452,14.27,24.19,2430.36
Networking,Corporate Training,1,952,Hotel,London,16,1.23,1,Bicycle,320.73,370,Mixed,952,6.22,4.38,2411.04
